posting_tech_stack_one,job_category_kor_one,require_experience_single_year,exp_min,exp_max,require_experience_role,require_experience_band_kr,posting_start_month_key,posting_start_date_key,posting_count_s,posting_share_s
C++,HW/임베디드,11,9,12,과장,10년+,2025-08,2025-08-20,1,1
Linux,SW/솔루션,9,7,10,과장,5-10년,2025-08,2025-08-30,1,1
vmware,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-22,1,1
Java,DevOps/시스템 엔지니어,6,5,10,대리,5-10년,2025-08,2025-08-22,1,1
RESTAPI,프론트엔드 개발자,4,3,5,대리,3-5년,2025-08,2025-08-22,1,1
ISMS,정보보안 담당자,4,2,10,대리,3-5년,2025-08,2025-08-27,1,1
PyTorch,인공지능/머신러닝,3,1,20,사원,1-3년,2025-08,2025-08-28,1,1
Ansible,DevOps/시스템 엔지니어,17,16,20,부장,10년+,2025-09,2025-09-01,2,1.5
Vue.js,프론트엔드 개발자,17,16,20,부장,10년+,2025-09,2025-09-01,1,1
ISMS,정보보안 담당자,11,10,15,과장,10년+,2025-08,2025-08-29,1,1
React,개발 PM,4,3,5,대리,3-5년,2025-08,2025-08-31,1,0.5
Docker,웹 풀스택 개발자,11,10,12,과장,10년+,2025-08,2025-08-31,1,0.25
DB,기술지원,9,7,10,과장,5-10년,2025-09,2025-09-01,1,0.5
C++,정보보안 담당자,9,7,15,과장,5-10년,2025-09,2025-09-01,1,0.5
L3,기술지원,9,7,10,과장,5-10년,2025-09,2025-09-01,1,0.5
Redis,서버/백엔드 개발자,10,8,20,과장,5-10년,2025-09,2025-09-04,1,1
Datadog,프론트엔드 개발자,5,3,10,대리,3-5년,2025-09,2025-09-06,1,1
AWS,DevOps/시스템 엔지니어,5,3,10,대리,3-5년,2025-09,2025-09-06,1,0.25
Python,빅데이터 엔지니어,9,7,10,과장,5-10년,2025-09,2025-09-04,1,0.5
AZURE,서버/백엔드 개발자,9,7,20,과장,5-10년,2025-09,2025-09-07,1,0.3333333333333333
Java,서버/백엔드 개발자,5,4,8,대리,3-5년,2025-09,2025-09-06,1,1
Verilog,HW/임베디드,6,5,7,대리,5-10년,2025-09,2025-09-08,1,1
ReactD3Library,프론트엔드 개발자,6,5,10,대리,5-10년,2025-09,2025-09-05,1,1
PCB,HW/임베디드,15,13,20,차장,10년+,2025-09,2025-09-07,1,1
VHDL,HW/임베디드,10,8,17,과장,5-10년,2025-09,2025-09-08,1,0.5
